,Date of Sale,Menu Name,Net Sales,Sales Quantity
3011,08-10-2024,Raisin Bread,15.,2.
3012,08-10-2024,Whole Milk Loaf,21.,3.
3013,08-10-2024,Chocolate Pretzel Pastry,32.,8.
3014,08-10-2024,Almond Croissant,67.5,15.
3015,08-10-2024,Blueberry Jam Mont Blanc Pastry,29.,4.
3016,08-10-2024,Caramel Almond Pastry,43.88,12.
3017,08-10-2024,Caramel Apple Pie,67.4,17.
3018,08-10-2024,Chocolate Avalanche,93.5,22.
3019,08-10-2024,Chocolate Croissant,48.81,11.
3020,08-10-2024,Cocoa Hazelnut Croissant,31.5,7.
3021,08-10-2024,Cranberry Cream Cheese Scone,10.,4.
3022,08-10-2024,Crispy Almond Pastry,64.,16.
3023,08-10-2024,Croissant,70.,20.
3024,08-10-2024,Custard & Almond Pretzel Pastry,20.,5.
3025,08-10-2024,Elotes Pastry,29.75,7.
3026,08-10-2024,Frank Pastry,25.5,6.
3027,08-10-2024,Garlic & Cheese Croissant,21.25,5.
3028,08-10-2024,Greek Yogurt Cherry Danish,39.4,10.
3029,08-10-2024,Guava Danish,75.,20.
3030,08-10-2024,Jalapeno Cheese Croissant,4.25,1.
3031,08-10-2024,Mini Apple Danish Trio,39.83,9.
3032,08-10-2024,Mixed Berry Danish,15.,3.
3033,08-10-2024,Mont Blanc Pastry,22.8,4.
3034,08-10-2024,Pain Au Chocolat,84.,21.
3035,08-10-2024,Pain Aux Raisin,24.,6.
3036,08-10-2024,Pineapple Cream Cheese Scone,10.,4.
3037,08-10-2024,Portuguese Egg Tart,39.,12.
3038,08-10-2024,Spinach Feta Danish,120.,30.
3039,08-10-2024,Strawberry Croissant,47.25,9.
3040,08-10-2024,Sweet Cheese and Blueberry Danish,42.8,11.
3041,08-10-2024,Yuzu Pie,82.87,20.
3042,08-10-2024,Baby Choux,9.,2.
3043,08-10-2024,Banana Soft,17.5,5.
3044,08-10-2024,Belgium Waffle,10.5,3.
3045,08-10-2024,Blueberry Cream Cheese Bread,52.,13.
3046,08-10-2024,Blueberry Muffin w/ Blueberry filling,23.11,6.
3047,08-10-2024,Chocolate Dipped Waffle,28.,7.
3048,08-10-2024,Cranberry Cream Cheese Bread,48.3,14.
3049,08-10-2024,Croque Monsieur,71.25,15.
3050,08-10-2024,Custard Bun,28.,8.
3051,08-10-2024,Custard Cream Soboro,52.5,14.
3052,08-10-2024,Foliage Sausage Bread,54.45,11.
3053,08-10-2024,Garlic Cream Cheese Bread,38.5,7.
3054,08-10-2024,Honey Cheese Pancake,74.25,15.
3055,08-10-2024,Honeydew Melon Soft,17.5,5.
3056,08-10-2024,Milk Cream Bread,55.25,17.
3057,08-10-2024,Milk Soft Bread,10.5,3.
3058,08-10-2024,Mocha Cream Bread,19.8,4.
3059,08-10-2024,Morning Bread,12.5,2.
3060,08-10-2024,Nutty Cream Stick Bread,17.,4.
3061,08-10-2024,Olive Tomato Bread,18.,4.
3062,08-10-2024,Original Coffee Bun,30.,8.
3063,08-10-2024,Pizza Bread,19.,4.
3064,08-10-2024,Potato Cheese Bread,39.6,8.
3065,08-10-2024,Premium Red Bean Bread,15.,4.
3066,08-10-2024,Redbean Bread,39.,13.
3067,08-10-2024,Salt & Butter Roll,21.,6.
3068,08-10-2024,Soboro,36.,12.
3069,08-10-2024,Strawberry Cream Soboro,40.,8.
3070,08-10-2024,Strawberry Soft,28.,8.
3071,08-10-2024,Sweet Frank Roll,86.48,21.
3072,08-10-2024,Taro Buttercream Bread,14.,4.
3073,08-10-2024,The+ Milk Roll,5.75,1.
3074,08-12-2024,Chocolate Cream Doughnut,62.1,14.
3075,08-12-2024,Corn Cheese Donut,15.75,7.
3076,08-12-2024,Croquette,37.4,9.
3077,08-12-2024,Curry Croquette,63.75,15.
3078,08-12-2024,Kimchi Croquette,51.,12.
3079,08-12-2024,Mango Cream Doughnut,52.2,12.
3080,08-12-2024,Redbean Donut,11.25,3.
3081,08-12-2024,Sesame Donut,15.95,6.
3082,08-12-2024,Sweet Cream Donut,9.,2.
3083,08-12-2024,Sweet Rice Donut,11.,4.
3084,08-12-2024,Twist Donut,37.7,12.
3085,08-12-2024,Baguette,7.,2.
3086,08-12-2024,Walnut Cream Baguette,9.9,2.
3087,08-12-2024,Mascarpone Whipped Cream Loaf,21.,3.
3088,08-12-2024,Whole Milk Loaf,14.,2.
3089,08-12-2024,Chocolate Pretzel Pastry,8.,2.
3090,08-12-2024,Almond Croissant,58.5,13.
3091,08-12-2024,Blueberry Jam Mont Blanc Pastry,7.25,1.
3092,08-12-2024,Caramel Almond Pastry,3.75,1.
3093,08-12-2024,Caramel Apple Pie,36.,9.
3094,08-12-2024,Chocolate Avalanche,29.75,7.
3095,08-12-2024,Chocolate Croissant,36.,8.
3096,08-12-2024,Cocoa Hazelnut Croissant,26.1,6.
3097,08-12-2024,Cranberry Cream Cheese Scone,12.5,5.
3098,08-12-2024,Crispy Almond Pastry,52.,13.
3099,08-12-2024,Croissant,20.3,6.
3100,08-12-2024,Custard & Almond Pretzel Pastry,8.,2.
3101,08-12-2024,Elotes Pastry,34.,8.
3102,08-12-2024,Garlic & Cheese Croissant,12.75,3.
3103,08-12-2024,Greek Yogurt Cherry Danish,28.,7.
3104,08-12-2024,Guava Danish,37.5,10.
3105,08-12-2024,Jalapeno Cheese Croissant,4.25,1.
3106,08-12-2024,Mini Apple Danish Trio,4.5,1.
3107,08-12-2024,Pain Au Chocolat,68.,17.
3108,08-12-2024,Pain Aux Raisin,12.,3.
3109,08-12-2024,Portuguese Egg Tart,22.1,7.
3110,08-12-2024,Raspberry Pretzel Pastry,3.5,1.
3111,08-12-2024,Spinach Feta Danish,64.,16.
3112,08-12-2024,Strawberry Croissant,30.71,6.
3113,08-12-2024,Sweet Cheese and Blueberry Danish,37.4,10.
3114,08-12-2024,Yuzu Pie,24.86,6.
3115,08-12-2024,Banana Soft,10.5,3.
3116,08-12-2024,Belgium Waffle,14.,4.
3117,08-12-2024,Blueberry Cream Cheese Bread,40.,10.
3118,08-12-2024,Blueberry Muffin w/ Blueberry filling,7.9,2.
3119,08-12-2024,Chocolate Dipped Waffle,24.,6.
3120,08-12-2024,Chocolate Muffin w/ Hazelnut filling,11.85,3.
3121,08-12-2024,Cranberry Cream Cheese Bread,28.,8.
3122,08-12-2024,Croque Monsieur,59.36,14.
3123,08-12-2024,Custard Bun,17.5,5.
3124,08-12-2024,Custard Cream Soboro,18.,5.
3125,08-12-2024,Foliage Sausage Bread,89.1,18.
3126,08-12-2024,Garlic Cream Cheese Bread,38.5,7.
3127,08-12-2024,Garlic Stick,12.,4.
3128,08-12-2024,Honey Cheese Pancake,49.5,10.
3129,08-12-2024,Honeydew Melon Soft,14.,4.
3130,08-12-2024,Milk Cream Bread,32.5,10.
3131,08-12-2024,Milk Soft Bread,17.5,5.
3132,08-12-2024,Mini Butter Cream Bread,7.5,3.
3133,08-12-2024,Mocha Cream Bread,19.8,4.
3134,08-12-2024,Morning Bread,6.25,1.
3135,08-12-2024,Nutty Cream Stick Bread,12.75,3.
3136,08-12-2024,Olive Tomato Bread,18.,4.
3137,08-12-2024,Original Coffee Bun,15.,4.
3138,08-12-2024,Pizza Bread,19.,4.
3139,08-12-2024,Potato Cheese Bread,18.81,4.
3140,08-12-2024,Premium Red Bean Bread,15.,4.
3141,08-12-2024,Redbean Bread,38.4,13.
3142,08-12-2024,Salt & Butter Roll,23.8,7.
3143,08-12-2024,Soboro,12.,4.
3144,08-12-2024,Strawberry Cream Soboro,25.,5.
3145,08-12-2024,Strawberry Soft,14.,4.
3146,08-12-2024,Sweet Frank Roll,70.55,17.
3147,08-12-2024,Taro Buttercream Bread,14.,4.
3148,08-12-2024,The+ Milk Roll,23.,4.
3149,08-13-2024,Chocolate Cream Doughnut,45.,10.
3150,08-13-2024,Corn Cheese Donut,24.3,11.
3151,08-13-2024,Croquette,55.25,13.
3152,08-13-2024,Curry Croquette,103.7,25.
3153,08-13-2024,Frank Roll,7.9,2.
3154,08-13-2024,Kimchi Croquette,59.5,14.
3155,08-13-2024,Mango Cream Doughnut,62.32,14.
3156,08-13-2024,Redbean Donut,26.25,7.
3157,08-13-2024,Sesame Donut,13.75,5.
3158,08-13-2024,Sweet Cream Donut,22.5,5.
3159,08-13-2024,Sweet Rice Donut,13.75,5.
3160,08-13-2024,Twist Donut,29.25,9.
3161,08-13-2024,Baguette,21.,6.
3162,08-13-2024,Walnut Cream Baguette,4.95,1.
3163,08-13-2024,Mascarpone Whipped Cream Loaf,21.,3.
3164,08-13-2024,Multi-Grain Plant-Based Loaf,14.,2.
3165,08-13-2024,Whole Milk Loaf,40.95,6.
3166,08-13-2024,Chocolate Pretzel Pastry,24.,6.
3167,08-13-2024,Almond Croissant,63.,14.
3168,08-13-2024,Blueberry Jam Mont Blanc Pastry,14.5,2.
3169,08-13-2024,Caramel Apple Pie,64.,16.
3170,08-13-2024,Chocolate Avalanche,29.75,7.
3171,08-13-2024,Chocolate Croissant,45.,10.
3172,08-13-2024,Cocoa Hazelnut Croissant,18.,4.
3173,08-13-2024,Cranberry Cream Cheese Scone,7.5,3.
3174,08-13-2024,Crispy Almond Pastry,36.,9.
3175,08-13-2024,Croissant,28.,8.
3176,08-13-2024,Custard & Almond Pretzel Pastry,12.,3.
3177,08-13-2024,Elotes Pastry,17.,4.
3178,08-13-2024,Frank Pastry,17.,4.
3179,08-13-2024,Garlic & Cheese Croissant,12.75,3.
3180,08-13-2024,Greek Yogurt Cherry Danish,24.,6.
3181,08-13-2024,Guava Danish,29.44,8.
3182,08-13-2024,Jalapeno Cheese Croissant,12.75,3.
3183,08-13-2024,Mini Apple Danish Trio,4.5,1.
3184,08-13-2024,Mixed Berry Danish,12.5,3.
3185,08-13-2024,Mont Blanc Pastry,12.,2.
3186,08-13-2024,Pain Au Chocolat,39.2,10.
3187,08-13-2024,Pain Aux Raisin,16.,4.
3188,08-13-2024,Pineapple Cream Cheese Scone,10.,4.
3189,08-13-2024,Portuguese Egg Tart,32.5,10.
3190,08-13-2024,Spinach Feta Danish,64.,16.
3191,08-13-2024,Strawberry Croissant,26.25,5.
3192,08-13-2024,Sweet Cheese and Blueberry Danish,28.,7.
3193,08-13-2024,Yuzu Pie,42.5,10.
3194,08-13-2024,Baby Choux,9.,2.
3195,08-13-2024,Banana Soft,3.5,1.
3196,08-13-2024,Belgium Waffle,21.,6.
3197,08-13-2024,Blueberry Cream Cheese Bread,20.,5.
3198,08-13-2024,Blueberry Muffin w/ Blueberry filling,11.85,3.
3199,08-13-2024,Chocolate Dipped Waffle,32.,8.
3200,08-13-2024,Cranberry Cream Cheese Bread,21.,6.
3201,08-13-2024,Croque Monsieur,47.5,10.
3202,08-13-2024,Custard Bun,21.,6.
3203,08-13-2024,Custard Cream Soboro,22.5,6.
3204,08-13-2024,Foliage Sausage Bread,66.33,14.
3205,08-13-2024,Garlic Cream Cheese Bread,44.,8.
3206,08-13-2024,Honey Cheese Pancake,42.07,9.
3207,08-13-2024,Honeydew Melon Soft,17.5,5.
3208,08-13-2024,Milk Cream Bread,39.,12.
3209,08-13-2024,Milk Soft Bread,17.5,5.
3210,08-13-2024,Mocha Cream Bread,18.81,4.
3211,08-13-2024,Morning Bread,11.25,2.
3212,08-13-2024,Nutty Cream Stick Bread,8.5,2.
3213,08-13-2024,Olive Tomato Bread,18.,4.
3214,08-13-2024,Original Coffee Bun,22.5,6.
3215,08-13-2024,Pizza Bread,9.5,2.
3216,08-13-2024,Potato Cheese Bread,54.45,11.
3217,08-13-2024,Premium Red Bean Bread,10.5,3.
3218,08-13-2024,Redbean Bread,27.,9.
3219,08-13-2024,Salt & Butter Roll,35.,11.
3220,08-13-2024,Soboro,34.8,12.
3221,08-13-2024,Strawberry Cream Soboro,20.,4.
3222,08-13-2024,Strawberry Soft,17.5,5.
3223,08-13-2024,Sweet Frank Roll,50.7,12.
3224,08-13-2024,Taro Buttercream Bread,7.,2.
3225,08-13-2024,Taro Cream Bun,5.,1.
3226,08-14-2024,Chocolate Cream Doughnut,57.6,13.
3227,08-14-2024,Corn Cheese Donut,18.,8.
3228,08-14-2024,Croquette,73.95,18.
3229,08-14-2024,Curry Croquette,92.01,22.
3230,08-14-2024,Kimchi Croquette,45.05,11.
3231,08-14-2024,Mango Cream Doughnut,56.7,13.
3232,08-14-2024,Redbean Donut,24.75,7.
3233,08-14-2024,Sesame Donut,9.9,4.
3234,08-14-2024,Sweet Cream Donut,18.45,5.
3235,08-14-2024,Sweet Rice Donut,20.35,8.
3236,08-14-2024,Twist Donut,31.2,10.
3237,08-14-2024,Baguette,7.,2.
3238,08-14-2024,Walnut Cream Baguette,14.85,3.
3239,08-14-2024,Chestnut Pan Bread,3.8,1.
3240,08-14-2024,Mascarpone Whipped Cream Loaf,26.95,4.
3241,08-14-2024,Raisin Bread,7.5,1.
3242,08-14-2024,Whole Milk Loaf,39.2,6.
3243,08-14-2024,Chocolate Pretzel Pastry,16.,4.
3244,08-14-2024,Almond Croissant,45.,10.
3245,08-14-2024,Blueberry Jam Mont Blanc Pastry,27.55,4.
3246,08-14-2024,Caramel Almond Pastry,15.,4.
3247,08-14-2024,Caramel Apple Pie,54.4,14.
3248,08-14-2024,Chocolate Avalanche,28.9,7.
3249,08-14-2024,Chocolate Croissant,25.42,6.
3250,08-14-2024,Cocoa Hazelnut Croissant,18.,4.
3251,08-14-2024,Cranberry Cream Cheese Scone,22.,9.
3252,08-14-2024,Crispy Almond Pastry,24.,6.
3253,08-14-2024,Croissant,28.,8.
3254,08-14-2024,Custard & Almond Pretzel Pastry,16.,4.
3255,08-14-2024,Elotes Pastry,33.36,8.
3256,08-14-2024,Frank Pastry,8.5,2.
3257,08-14-2024,Garlic & Cheese Croissant,25.5,6.
3258,08-14-2024,Greek Yogurt Cherry Danish,28.,7.
3259,08-14-2024,Guava Danish,47.44,13.
3260,08-14-2024,Mini Apple Danish Trio,13.5,3.
3261,08-14-2024,Mixed Berry Danish,5.,1.
3262,08-14-2024,Mont Blanc Pastry,18.,3.
3263,08-14-2024,Pain Au Chocolat,82.4,21.
3264,08-14-2024,Pain Aux Raisin,22.6,6.
3265,08-14-2024,Pineapple Cream Cheese Scone,14.5,6.
3266,08-14-2024,Portuguese Egg Tart,37.37,12.
3267,08-14-2024,Spinach Feta Danish,100.,25.
3268,08-14-2024,Strawberry Croissant,26.25,5.
3269,08-14-2024,Sweet Cheese and Blueberry Danish,24.,6.
3270,08-14-2024,Yuzu Pie,28.26,7.
3271,08-14-2024,Baby Choux,4.5,1.
3272,08-14-2024,Banana Soft,14.,4.
3273,08-14-2024,Belgium Waffle,13.3,4.
3274,08-14-2024,Blueberry Cream Cheese Bread,32.,8.
3275,08-14-2024,Blueberry Muffin w/ Blueberry filling,15.8,4.
3276,08-14-2024,Chocolate Dipped Waffle,24.,6.
3277,08-14-2024,Chocolate Muffin w/ Hazelnut filling,15.8,4.
3278,08-14-2024,Cranberry Cream Cheese Bread,24.5,7.
3279,08-14-2024,Croque Monsieur,62.94,14.
3280,08-14-2024,Custard Bun,35.,10.
3281,08-14-2024,Custard Cream Soboro,33.75,9.
3282,08-14-2024,Foliage Sausage Bread,82.17,17.
3283,08-14-2024,Garlic Cream Cheese Bread,42.9,8.
3284,08-14-2024,Honey Cheese Pancake,49.5,10.
3285,08-14-2024,Honeydew Melon Soft,16.8,5.
3286,08-14-2024,Milk Cream Bread,41.11,13.
3287,08-14-2024,Milk Soft Bread,13.47,4.
3288,08-14-2024,Mocha Cream Bread,9.9,2.
3289,08-14-2024,Morning Bread,18.75,3.
3290,08-14-2024,Nutty Cream Stick Bread,4.25,1.
3291,08-14-2024,Olive Tomato Bread,13.5,3.
3292,08-14-2024,Original Coffee Bun,37.5,10.
3293,08-14-2024,Pizza Bread,19.,4.
3294,08-14-2024,Potato Cheese Bread,34.65,7.
3295,08-14-2024,Premium Red Bean Bread,22.5,6.
3296,08-14-2024,Redbean Bread,17.4,6.
3297,08-14-2024,Salt & Butter Roll,24.5,7.
3298,08-14-2024,Soboro,27.,9.
3299,08-14-2024,Strawberry Cream Soboro,12.5,3.
3300,08-14-2024,Strawberry Soft,16.8,5.
3301,08-14-2024,Sweet Frank Roll,72.25,17.
3302,08-14-2024,Taro Buttercream Bread,14.,4.
3303,08-14-2024,Taro Cream Bun,9.24,2.
3304,08-14-2024,The+ Milk Roll,11.5,2.
3305,08-15-2024,Chocolate Cream Doughnut,54.,12.
3306,08-15-2024,Corn Cheese Donut,17.55,8.
3307,08-15-2024,Croquette,68.,16.
3308,08-15-2024,Curry Croquette,59.5,14.
3309,08-15-2024,Kimchi Croquette,59.5,14.
3310,08-15-2024,Mango Cream Doughnut,49.5,11.
3311,08-15-2024,Redbean Donut,7.5,2.
3312,08-15-2024,Sesame Donut,5.5,2.
3313,08-15-2024,Sweet Cream Donut,13.5,4.
3314,08-15-2024,Sweet Rice Donut,11.,4.
3315,08-15-2024,Twist Donut,29.25,9.
3316,08-15-2024,Baguette,14.,4.
3317,08-15-2024,Walnut Cream Baguette,9.9,2.
3318,08-15-2024,Chestnut Pan Bread,9.5,2.
3319,08-15-2024,Mascarpone Whipped Cream Loaf,7.,1.
3320,08-15-2024,Whole Milk Loaf,10.5,2.
3321,08-15-2024,Chocolate Pretzel Pastry,24.,6.
3322,08-15-2024,Almond Croissant,45.,10.
3323,08-15-2024,Caramel Almond Pastry,26.25,7.
3324,08-15-2024,Caramel Apple Pie,56.,14.
3325,08-15-2024,Chocolate Avalanche,46.75,11.
3326,08-15-2024,Chocolate Croissant,27.,6.
3327,08-15-2024,Cocoa Hazelnut Croissant,22.5,5.
3328,08-15-2024,Cranberry Cream Cheese Scone,2.5,1.
3329,08-15-2024,Crispy Almond Pastry,60.,15.
3330,08-15-2024,Croissant,56.,16.
3331,08-15-2024,Custard & Almond Pretzel Pastry,8.,2.
3332,08-15-2024,Elotes Pastry,21.25,5.
3333,08-15-2024,Frank Pastry,4.25,1.
3334,08-15-2024,Garlic & Cheese Croissant,16.36,4.
3335,08-15-2024,Greek Yogurt Cherry Danish,24.,6.
3336,08-15-2024,Guava Danish,26.25,7.
3337,08-15-2024,Jalapeno Cheese Croissant,4.25,1.
3338,08-15-2024,Mini Apple Danish Trio,9.,2.
3339,08-15-2024,Mixed Berry Danish,20.,4.
3340,08-15-2024,Mont Blanc Pastry,12.,2.
3341,08-15-2024,Pain Au Chocolat,52.,13.
3342,08-15-2024,Pain Aux Raisin,16.,4.
3343,08-15-2024,Pineapple Cream Cheese Scone,5.,2.
3344,08-15-2024,Portuguese Egg Tart,39.,12.
3345,08-15-2024,Raspberry Pretzel Pastry,4.,1.
3346,08-15-2024,Spinach Feta Danish,60.,15.
3347,08-15-2024,Strawberry Croissant,21.,4.
3348,08-15-2024,Sweet Cheese and Blueberry Danish,28.,7.
3349,08-15-2024,Yuzu Pie,46.75,11.
3350,08-15-2024,Baby Choux,8.1,2.
3351,08-15-2024,Banana Soft,14.,4.
3352,08-15-2024,Belgium Waffle,10.5,3.
3353,08-15-2024,Blueberry Cream Cheese Bread,36.,9.
3354,08-15-2024,Blueberry Muffin w/ Blueberry filling,11.85,3.
3355,08-15-2024,Chocolate Dipped Waffle,20.,5.
3356,08-15-2024,Chocolate Muffin w/ Hazelnut filling,11.85,3.
3357,08-15-2024,Cranberry Cream Cheese Bread,28.,8.
3358,08-15-2024,Croque Monsieur,40.85,9.
3359,08-15-2024,Custard Bun,24.5,7.
3360,08-15-2024,Custard Cream Soboro,25.5,7.
3361,08-15-2024,Foliage Sausage Bread,59.4,12.
3362,08-15-2024,Garlic Cream Cheese Bread,44.,8.
3363,08-15-2024,Honey Cheese Pancake,47.03,10.
3364,08-15-2024,Honeydew Melon Soft,17.5,5.
3365,08-15-2024,Milk Cream Bread,39.,12.
3366,08-15-2024,Milk Soft Bread,17.5,5.
3367,08-15-2024,Mocha Cream Bread,14.85,3.
3368,08-15-2024,Morning Bread,12.5,2.
3369,08-15-2024,Nutty Cream Stick Bread,4.25,1.
3370,08-15-2024,Olive Tomato Bread,18.,4.
3371,08-15-2024,Original Coffee Bun,7.5,2.
3372,08-15-2024,Pizza Bread,19.,4.
3373,08-15-2024,Potato Cheese Bread,19.8,4.
3374,08-15-2024,Premium Red Bean Bread,15.,4.
3375,08-15-2024,Redbean Bread,30.,10.
3376,08-15-2024,Salt & Butter Roll,35.,10.
3377,08-15-2024,Soboro,9.,3.
3378,08-15-2024,Strawberry Cream Soboro,20.,4.
3379,08-15-2024,Strawberry Soft,16.8,5.
3380,08-15-2024,Sweet Frank Roll,55.25,13.
3381,08-15-2024,Taro Buttercream Bread,17.5,5.
3382,08-15-2024,Taro Cream Bun,5.,1.
3383,08-15-2024,The+ Milk Roll,11.5,2.
3384,08-16-2024,Chocolate Cream Doughnut,54.,12.
3385,08-16-2024,Corn Cheese Donut,22.16,10.
3386,08-16-2024,Croquette,59.5,14.
3387,08-16-2024,Curry Croquette,135.15,32.
3388,08-16-2024,Kimchi Croquette,33.15,8.
3389,08-16-2024,Mango Cream Doughnut,72.,16.
3390,08-16-2024,Redbean Donut,15.,4.
3391,08-16-2024,Sesame Donut,13.34,5.
3392,08-16-2024,Sweet Cream Donut,9.,2.
3393,08-16-2024,Sweet Rice Donut,16.5,6.
3394,08-16-2024,Twist Donut,29.25,9.
3395,08-16-2024,Baguette,14.,4.
3396,08-16-2024,Chestnut Pan Bread,4.75,1.
3397,08-16-2024,Mascarpone Whipped Cream Loaf,21.,3.
3398,08-16-2024,Olive Basil Plant-Based Loaf,7.,1.
3399,08-16-2024,Purple Sweet Potato Loaf,21.,3.
3400,08-16-2024,Raisin Bread,7.5,1.
3401,08-16-2024,Whole Milk Loaf,14.,2.
3402,08-16-2024,Chocolate Pretzel Pastry,26.4,7.
3403,08-16-2024,Almond Croissant,58.5,13.
3404,08-16-2024,Blueberry Jam Mont Blanc Pastry,36.25,5.
3405,08-16-2024,Caramel Almond Pastry,22.5,6.
3406,08-16-2024,Caramel Apple Pie,68.,17.
3407,08-16-2024,Chocolate Avalanche,76.5,18.
3408,08-16-2024,Chocolate Croissant,22.5,5.
3409,08-16-2024,Cocoa Hazelnut Croissant,30.6,7.
3410,08-16-2024,Cranberry Cream Cheese Scone,12.5,5.
3411,08-16-2024,Crispy Almond Pastry,62.67,17.
3412,08-16-2024,Croissant,49.,14.
3413,08-16-2024,Custard & Almond Pretzel Pastry,8.,2.
3414,08-16-2024,Elotes Pastry,12.75,3.
3415,08-16-2024,Frank Pastry,29.75,7.
3416,08-16-2024,Garlic & Cheese Croissant,12.75,3.
3417,08-16-2024,Greek Yogurt Cherry Danish,36.,9.
3418,08-16-2024,Guava Danish,33.19,9.
3419,08-16-2024,Jalapeno Cheese Croissant,8.5,2.
3420,08-16-2024,Mini Apple Danish Trio,13.5,3.
3421,08-16-2024,Mixed Berry Danish,10.,2.
3422,08-16-2024,Mont Blanc Pastry,6.,1.
3423,08-16-2024,Pain Au Chocolat,67.2,17.
3424,08-16-2024,Pain Aux Raisin,24.,6.
3425,08-16-2024,Pineapple Cream Cheese Scone,5.,2.
3426,08-16-2024,Portuguese Egg Tart,48.75,15.
3427,08-16-2024,Spinach Feta Danish,76.,19.
3428,08-16-2024,Strawberry Croissant,15.75,3.
3429,08-16-2024,Sweet Cheese and Blueberry Danish,28.,7.
3430,08-16-2024,Yuzu Pie,76.5,18.
3431,08-16-2024,Baby Choux,9.,2.
3432,08-16-2024,Banana Soft,17.5,5.
3433,08-16-2024,Belgium Waffle,14.,4.
3434,08-16-2024,Blueberry Cream Cheese Bread,40.,10.
3435,08-16-2024,Blueberry Muffin w/ Blueberry filling,11.85,3.
3436,08-16-2024,Chocolate Dipped Waffle,16.,4.
3437,08-16-2024,Chocolate Muffin w/ Hazelnut filling,7.9,2.
3438,08-16-2024,Cranberry Cream Cheese Bread,24.5,7.
3439,08-16-2024,Croque Monsieur,74.1,16.
3440,08-16-2024,Custard Bun,35.,10.
3441,08-16-2024,Custard Cream Soboro,30.,8.
3442,08-16-2024,Foliage Sausage Bread,87.37,18.
3443,08-16-2024,Garlic Cream Cheese Bread,48.4,9.
3444,08-16-2024,Honey Cheese Pancake,53.46,11.
3445,08-16-2024,Honeydew Melon Soft,17.5,5.
3446,08-16-2024,Milk Cream Bread,39.,12.
3447,08-16-2024,Milk Soft Bread,14.,4.
3448,08-16-2024,Mocha Cream Bread,19.8,4.
3449,08-16-2024,Morning Bread,18.75,3.
3450,08-16-2024,Nutty Cream Stick Bread,12.75,3.
3451,08-16-2024,Olive Tomato Bread,27.,6.
3452,08-16-2024,Original Coffee Bun,11.25,3.
3453,08-16-2024,Pizza Bread,19.,4.
3454,08-16-2024,Potato Cheese Bread,18.81,4.
3455,08-16-2024,Premium Red Bean Bread,22.5,6.
3456,08-16-2024,Redbean Bread,27.,9.
3457,08-16-2024,Salt & Butter Roll,31.5,9.
3458,08-16-2024,Soboro,21.,7.
3459,08-16-2024,Strawberry Cream Soboro,30.,6.
3460,08-16-2024,Strawberry Soft,14.,4.
3461,08-16-2024,Sweet Frank Roll,71.4,17.
3462,08-16-2024,Taro Buttercream Bread,10.5,3.
3463,08-16-2024,Taro Cream Bun,5.,1.
3464,08-16-2024,The+ Milk Roll,11.5,2.
3465,08-17-2024,Chocolate Cream Doughnut,63.,14.
3466,08-17-2024,Corn Cheese Donut,22.5,10.
3467,08-17-2024,Croquette,68.,16.
3468,08-17-2024,Curry Croquette,122.4,30.
3469,08-17-2024,Kimchi Croquette,67.15,16.
3470,08-17-2024,Mango Cream Doughnut,63.,14.
3471,08-17-2024,Redbean Donut,30.,8.
3472,08-17-2024,Sesame Donut,11.,4.
3473,08-17-2024,Sweet Cream Donut,22.5,5.
3474,08-17-2024,Sweet Rice Donut,19.25,7.
3475,08-17-2024,Twist Donut,59.96,19.
3476,08-17-2024,Baguette,17.5,5.
3477,08-17-2024,Mascarpone Whipped Cream Loaf,28.,4.
3478,08-17-2024,Multi-Grain Plant-Based Loaf,14.,2.
3479,08-17-2024,Olive Basil Plant-Based Loaf,21.,3.
3480,08-17-2024,Raisin Bread,7.5,1.
3481,08-17-2024,Whole Milk Loaf,42.,6.
3482,08-17-2024,Chocolate Pretzel Pastry,27.2,7.
3483,08-17-2024,Almond Croissant,72.,16.
3484,08-17-2024,Blueberry Jam Mont Blanc Pastry,29.,4.
3485,08-17-2024,Caramel Almond Pastry,30.,8.
3486,08-17-2024,Caramel Apple Pie,88.,22.
3487,08-17-2024,Chocolate Avalanche,95.2,23.
3488,08-17-2024,Chocolate Croissant,71.1,16.
3489,08-17-2024,Cocoa Hazelnut Croissant,45.,10.
3490,08-17-2024,Cranberry Cream Cheese Scone,10.,4.
3491,08-17-2024,Crispy Almond Pastry,64.,16.
3492,08-17-2024,Croissant,105.,30.
3493,08-17-2024,Custard & Almond Pretzel Pastry,16.,4.
3494,08-17-2024,Elotes Pastry,21.25,5.
3495,08-17-2024,Frank Pastry,46.11,11.
3496,08-17-2024,Garlic & Cheese Croissant,24.65,6.
3497,08-17-2024,Greek Yogurt Cherry Danish,28.,7.
3498,08-17-2024,Guava Danish,75.,20.
3499,08-17-2024,Jalapeno Cheese Croissant,12.75,3.
3500,08-17-2024,Mini Apple Danish Trio,13.5,3.
3501,08-17-2024,Mixed Berry Danish,25.,5.
3502,08-17-2024,Mont Blanc Pastry,24.,4.
3503,08-17-2024,Pain Au Chocolat,115.2,29.
3504,08-17-2024,Pain Aux Raisin,24.,6.
3505,08-17-2024,Pineapple Cream Cheese Scone,22.5,9.
3506,08-17-2024,Portuguese Egg Tart,57.52,18.
3507,08-17-2024,Spinach Feta Danish,102.4,26.
3508,08-17-2024,Strawberry Croissant,26.25,5.
3509,08-17-2024,Sweet Cheese and Blueberry Danish,60.,15.
